,date,tweet,clean_tweets,len,Sentiment
0,2019-09-27 09:33:14,RT @j_surowiec: W jakim celu prezydent @AndrzejDuda spotyka się z roszczeniowcami i antypolonitami?! https://t.co/wfy9crlLue,j surowiec w jakim celu prezydent andrzejduda spotyka si z roszczeniowcami antypolonitami wfy crllue,100,0
1,2019-09-27 09:33:53,"RT @Ewa12480120: SKOK Wołomin 28.08.2019 Zimmerman – Warchoł – Piebiak ośmiornica w Ministerstwie Sprawiedliwości
https://t.co/dtihb7cf0m
#…",ewa skok wo omin zimmerman warcho piebiak miornica w ministerstwie sprawiedliwo ci dtihb cf,91,0
2,2019-09-27 09:35:14,RT @grzegorzkrajski: #takbędzie jak nie pójdziesz na #wybory2019. https://t.co/dSyA99SZlI,grzegorzkrajski takb dzie jak nie p jdziesz na wybory dsya szli,63,0
3,2019-09-27 09:36:20,"Senat to jest trochę inna gra, natomiast tam paktu żadnego nie ma - @styszka wicemarszałek Sejmu @KUKIZ15… https://t.co/Dzdq77UWNo",senat jest troch inna gra natomiast tam paktu adnego nie styszka wicemarsza ek sejmu kukiz dzdq uwno,100,0
4,2019-09-27 09:37:15,Jeśli partia mająca wizerunek liberalnej chce go się pozbyć to jej lider powinien zadeklarować pobieranie grzywny o… https://t.co/9y92HFVQUI,je li pa ia maj ca wizerunek liberalnej chce go si pozby jej lider powinien zadeklarowa pobieranie grzywny hfvqui,113,0
5,2019-09-27 09:37:27,RT @bagietsonmajkel: PIERWSZA POMOC DLA PSA LUB KOTA!!!!! #tweetme #fitwrzesień #studia2019 #wybory2019 https://t.co/03CUq6l4x6,bagietsonmajkel pierwsza pomoc dla psa lub kota tweetme fitwrzesie studia wybory cuq l x,88,0
6,2019-09-27 09:39:15,"#KoalicjaPolska o stanie oświaty: ""Na ratunek umęczonej szkole"" #kraków #oświata #nowePSL #Kukiz15 #wybory2019… https://t.co/XFsXXhuTf8",koalicjapolska stanie wiaty na ratunek um czonej szkole krak w wiata nowepsl kukiz wybory xfsxxhutf,99,0
7,2019-09-27 09:39:39,RT @bagietsonmajkel: PIERWSZA POMOC DLA PSA LUB KOTA!!!!! #tweetme #fitwrzesień #studia2019 #wybory2019 https://t.co/03CUq6l4x6,bagietsonmajkel pierwsza pomoc dla psa lub kota tweetme fitwrzesie studia wybory cuq l x,88,0
8,2019-09-27 09:39:47,RT @SocialowaSowa: Prognoza poparcia @MarcinPalade dla @pisorgpl #PiS na dzień 22 września w porównaniu z wynikami wyborów parlamentarnych…,socialowasowa prognoza poparcia marcinpalade dla pisorgpl pis na dzie wrze nia w por wnaniu z wynikami wybor w parlamentarnych,126,0
9,2019-09-27 09:39:57,"RT @PSL_Malopolska: #KoalicjaPolska o stanie oświaty: ""Na ratunek umęczonej szkole"" #kraków #oświata #nowePSL #Kukiz15 #wybory2019 #łączymy…",psl malopolska koalicjapolska stanie wiaty na ratunek um czonej szkole krak w wiata nowepsl kukiz wybory czymy,110,0
10,2019-09-27 09:40:11,"Po cichu, po wyborach - w razie gdyby przegrali - przepchną #LexKopalnia...

Kopalnie bez głosu gmin. Odebranie gło… https://t.co/Avrb4fuOsG",po cichu po wyborach w razie gdyby przegrali przepchn lexkopalnia kopalnie bez g osu gmin odebranie g avrb fuosg,112,0
11,2019-09-27 09:40:30,"RT @szykom89: Panie @MorawieckiM, poniżej polska rodzina z krótkim przekazem dla pana i pańskiego rządu @pisorgpl. Ale taka prawdziwa rodzi…",szykom panie morawieckim poni ej polska rodzina z kr tkim przekazem dla pana pa skiego rz du pisorgpl ale taka prawdziwa rodzi,126,0
12,2019-09-27 09:40:47,#stoplgbt #strefawolnaodlgbt @TVRepublikapl @KlubyGP #wybory2019 #Warszawa #Kraków #Sejm #Lublin #Zakopane #Rzeszów… https://t.co/uWbRXnA84t,stoplgbt strefawolnaodlgbt tvrepublikapl klubygp wybory warszawa krak w sejm lublin zakopane rzesz w uwbrxna,108,0
13,2019-09-27 09:42:46,"RT @rzeczpospolita: #JOW ma być paliwem #Kukiz.a #polityka #wybory

http://t.co/tfDbbxjnBg http://t.co/BlCzTASgDC",rzeczpospolita jow paliwem kukiz polityka wybory tfdbbxjnbg blcztasgdc,70,0
14,2019-09-27 09:43:10,RT @pacjenci: Polska rodzina powinna być przede wszystkim zdrowa. Nieważne z ilu składa się osób i kim one są. Prawo do zdrowia to godność…,pacjenci polska rodzina powinna przede wszystkim zdrowa niewa ne z ilu sk ada si os b kim one prawo zdrowia godno,113,0
15,2019-09-27 09:43:29,RT @BartlomiejKozek: Jeśli partia mająca wizerunek liberalnej chce go się pozbyć to jej lider powinien zadeklarować pobieranie grzywny od k…,ba lomiejkozek je li pa ia maj ca wizerunek liberalnej chce go si pozby jej lider powinien zadeklarowa pobieranie grzywny od k,126,0
16,2019-09-27 09:46:17,"RT @IzabelaWalczak4: Fajne te media, takie nie za obiektywne

#Polskadlaciebie #Konfederacja #TVP #Wybory2019 https://t.co/Uxks0JeU2a",izabelawalczak fajne te media takie nie za obiektywne polskadlaciebie konfederacja tvp wybory uxks jeu,102,0
17,2019-09-27 09:46:29,"RT @TygrysBengalsk3: I to jest bardzo dobra, chwytliwa koncepcja ! https://t.co/wVqoRn83dO",tygrysbengalsk jest bardzo dobra chwytliwa koncepcja wvqorn,59,0
18,2019-09-27 09:46:30,"Lekarze, pielęgniarki, przedstawicie innych zawodów medycznych wyjeżdżają. Jesteśmy takim dawcą organów dla bogatyc… https://t.co/0BqaiL4Tw2",lekarze piel gniarki przedstawicie innych zawod w medycznych wyje aj jeste takim dawc organ w dla bogatyc bqail tw,114,0
19,2019-09-27 09:46:58,!!!!,,0,0
20,2019-09-27 09:47:35,"RT @Ecology_now: Po cichu, po wyborach - w razie gdyby przegrali - przepchną #LexKopalnia...

Kopalnie bez głosu gmin. Odebranie głosu społ…",e logy po cichu po wyborach w razie gdyby przegrali przepchn lexkopalnia kopalnie bez g osu gmin odebranie g osu spo,116,0
21,2019-09-27 09:48:04,"RT @pokonamy_pis: To jest obietnica, którą Jarosław Kaczyński zrealizował w 100%
- NIESTETY.

#MOBILIZACJA #SilniRazem #13października #Pok…",pokonamy pis jest obietnica kt r jaros aw kaczy ski zrealizowa w niestety mobilizacja silnirazem pa dziernika pok,113,0
22,2019-09-27 09:48:42,"Oglądaliście dzisiejszą DEBATĘ TYGODNIA z udziałem liderów list wyborczych z okręgu nr 30 @MarekKrzakala, PO oraz B… https://t.co/aGvd5tfUxO",ogl dali cie dzisiejsz debat tygodnia z udzia em lider w list wyborczych z okr gu nr marekkrzakala po oraz b agvd tfuxo,119,0
23,2019-09-27 09:52:02,"RT @szykom89: Panie @MorawieckiM, poniżej polska rodzina z krótkim przekazem dla pana i pańskiego rządu @pisorgpl. Ale taka prawdziwa rodzi…",szykom panie morawieckim poni ej polska rodzina z kr tkim przekazem dla pana pa skiego rz du pisorgpl ale taka prawdziwa rodzi,126,0
24,2019-09-27 09:52:53,"Jazda, jazda, jazda !!!
#SkasujPiS #SilniRazem #wybory2019",jazda jazda jazda skasujpis silnirazem wybory,45,0
25,2019-09-27 09:53:17,"Żenada. PO - PiSu nigdy nie było. Była natomiast 8 lat trwająca koalicja  @Platforma_org - @nowePSL, a wcześniej PS… https://t.co/OdOZpPaXlW",enada po pisu nigdy nie natomiast lat trwaj ca koalicja platforma org nowepsl wcze niej ps odozppaxlw,101,0
26,2019-09-27 09:53:50,"RT @Ewa12480120: SKOK Wołomin 28.08.2019 Zimmerman – Warchoł – Piebiak ośmiornica w Ministerstwie Sprawiedliwości
https://t.co/dtihb7cf0m
#…",ewa skok wo omin zimmerman warcho piebiak miornica w ministerstwie sprawiedliwo ci dtihb cf,91,0
27,2019-09-27 09:54:02,RT @eweritta: dobreeee  #SilniRazem #wiemlepiej #wybory2019 #IdziemyNaWybory #nieświrujIdźNaWybory https://t.co/uLF5LkEObB,eweritta dobreeee silnirazem wiemlepiej wybory idziemynawybory nie wirujid nawybory ulf lkeobb,94,0
28,2019-09-27 09:54:14,"RT @szykom89: Panie @MorawieckiM, poniżej polska rodzina z krótkim przekazem dla pana i pańskiego rządu @pisorgpl. Ale taka prawdziwa rodzi…",szykom panie morawieckim poni ej polska rodzina z kr tkim przekazem dla pana pa skiego rz du pisorgpl ale taka prawdziwa rodzi,126,0
29,2019-09-27 09:55:10,"Aktywny wyborczy poranek przy stacji metra Wawrzyszew :) 

#KMUdoSenatu #Wybory2019 #KoalicjaObywatelska https://t.co/AFLnFM7NCY",aktywny wyborczy poranek przy stacji metra wawrzyszew kmudosenatu wybory koalicjaobywatelska aflnfm ncy,103,0
30,2019-09-27 09:55:24,"RT @DudeOfPoland: @JanGrabiec Pozdrów Panią od seksu.
#StopHipokryzjiPO #Wybory2019 https://t.co/S1Z0MKG4MU",dudeofpoland jangrabiec pozdr w pani od seksu stophipokryzjipo wybory z mkg mu,78,0
